branch-load-misses,branch-misses,iTLB-load-misses,dTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,L1-dcache-load-misses,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.all_demand_miss,l2_rqsts.demand_data_rd_miss,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.rfo_miss,cache-misses,LLC-load-misses,LLC-store-misses,CPI
1569464,1560335,745,2214,1034,18660,27119116,69156775,27724,509862,282979,105532310,18399,104469,1958819,55088,75550,2.28
1503093,1534734,1227,3038,822,16121,26451191,45339174,18143,501202,310403,96975088,13214,113253,2214506,143288,83395,2.15
1496280,1458745,673,1627,795,17231,27507723,46610160,12797,513101,353735,63549990,22862,148448,1997932,107910,87158,2.06
1425028,1424596,682,2004,874,20839,27973765,50191775,21714,498492,350031,50869443,19954,184410,1359023,76721,59044,2.07
1399816,1435720,1173,3581,1000,32337,23581749,92379088,23041,494552,330538,46754106,16016,150864,783466,61622,55557,2.14
1310370,1337455,820,1867,636,22749,27604570,39777369,20895,541816,336860,47562963,18218,164619,916731,58837,45018,2.3
1289724,1365592,472,2447,974,23380,26047592,46848070,14590,547069,379951,50125202,25926,158256,147603,23509,44852,2.38
1395032,1364646,920,1342,916,26222,25648686,62475961,11118,467913,353657,47885547,25959,181369,547331,31256,32214,2.38
1538958,1501108,1088,2731,711,22887,23082037,87170578,19543,462527,312783,53295427,22200,180776,709682,26786,38653,2.38
1525163,1492587,572,1521,665,19635,22999545,97785644,22157,489678,316425,61175377,28486,184568,763513,46225,62970,2.37
1516286,1526361,1154,3090,1156,32088,23723301,88876040,44419,538584,293644,88403790,16404,134619,1001209,37575,57665,2.25
1584411,1584661,878,1639,773,22632,26350235,66678632,37578,497333,295535,100855214,20545,111060,2017550,38440,72308,2.31
1501072,1553205,443,1762,1014,20274,27318019,47936818,26510,494373,308088,88836488,20529,122781,2028976,164346,91891,2.18
1480852,1483544,447,2180,1314,36920,26810049,50839974,15784,536656,363742,72188840,27469,138674,2063870,127178,67710,2.06
1310821,1356754,1573,4280,1392,36398,27426147,47154191,28265,548088,338363,53984196,26602,139894,1555340,71301,86987,1.97
1410111,1460571,473,1892,724,21968,27391994,52608284,23419,538175,357911,43392662,27435,178395,1381792,78687,66028,2.24
1378363,1371248,557,2291,1009,20980,25008923,77690048,30266,543022,329927,53670725,13658,152763,438321,26402,59011,2.32
1345148,1382548,536,3231,988,24189,26575097,43015049,18109,536519,356848,45031975,10778,149791,611399,22479,35101,2.4
1389000,1384365,1021,1862,615,21452,25721814,60273570,12027,476139,349962,48701266,23919,170333,822916,68716,83634,2.33
1526483,1475801,617,1906,627,26748,22964469,88866246,13982,490769,321230,55581468,33175,199640,826081,27643,38296,2.4
1577820,1526139,882,3239,1191,27371,22753037,98149636,34162,486477,327114,64941579,21716,164241,486091,32110,36591,2.37
1553122,1570864,495,1301,752,21296,25030015,83370789,21814,482145,295803,81190737,25565,152243,1551925,58476,64253,2.29
1454857,1456188,540,1464,867,21730,25512749,80510242,30154,485923,309495,82616840,21740,152935,2242726,77720,92883,2.16
1475522,1503370,1008,2883,1148,22868,27547189,47427055,21214,534540,317156,77640500,16005,114026,1922695,95305,81007,2.2
1383073,1385496,1259,2435,610,23520,24150563,60608671,17713,496154,334786,76472687,21980,132046,1759355,56480,56555,2.26
1463490,1466089,703,1734,632,21997,27960691,47940515,20407,510946,330790,47258555,21155,171077,1098047,43147,76405,2.15
1378573,1408478,570,2211,904,19154,27139035,52244755,23752,574217,341745,51581354,20997,190759,906775,52612,50693,2.29
1320236,1314233,983,3039,996,24242,26839261,46409625,21504,529848,341335,40000926,13393,158092,515336,21529,38822,2.37
1444341,1413472,908,2178,536,22658,26148457,44557706,20189,543399,334616,48002312,10049,166218,698598,43326,56140,2.41
1478257,1439248,962,2209,782,28090,25256449,65125716,30373,561348,357387,50954027,14533,141480,582248,28462,28590,2.41
1525603,1515880,982,3570,979,25872,21831139,89769010,15398,463885,344873,50473232,25257,169593,97906,29737,31424,2.39
1528932,1536010,621,2166,741,19786,21928369,101427477,14581,410317,310723,74869691,22694,183472,795963,3660,56057,2.37
1593668,1527870,362,1961,1079,17303,25061170,80657733,15781,418304,279470,108104641,26613,187747,1354371,62350,59756,2.36
1570204,1583730,708,2537,785,29630,26902928,64657909,25933,465584,287803,98483927,22951,155415,2156027,64427,56759,2.28
1620188,1596954,561,1620,686,16784,25728626,69509858,20105,464091,292325,103775812,12972,112176,3316495,157202,86920,2.05
1493451,1512474,811,1598,870,18866,27617273,45291725,25579,566815,335413,60417229,12396,145903,2163719,127493,105083,2.12
1410317,1457541,983,3196,1012,29381,27576029,42226768,11868,538984,354954,43802957,13410,141949,777246,55322,82008,2.06
1339627,1332674,1113,3154,783,28304,27176870,46612187,13290,496712,359018,47538960,18424,152195,856543,43436,50506,2.29
1373723,1353760,719,2009,1009,25987,27682397,49929663,15380,490949,352152,52860513,30105,198833,634823,35059,58382,2.33
1401467,1384512,1041,3306,828,38500,26876521,52846906,36985,511810,328116,46822214,25293,174825,570591,44577,50679,2.37
1491281,1460517,1171,3066,1012,14021,25800287,64130839,20806,556688,350106,46313351,20340,175071,733338,30192,42542,2.37
1506402,1512410,849,2321,635,21484,22420390,104327521,19716,512096,342345,41574660,26275,190320,782742,48356,67368,2.38
1538814,1551471,594,1696,882,17107,23811846,104913954,26300,507786,322764,56344334,19323,149907,396498,23280,38537,2.4
1628500,1621412,1110,3545,934,26962,24580782,77329045,21149,471386,295587,94550244,11694,143312,971874,40405,64430,2.37
1518586,1560585,669,1568,829,17884,24031164,66293750,25669,456802,290253,115933855,15143,114623,2600896,108944,93665,2.22
1544820,1514479,715,1778,1054,16915,27320780,46884619,12647,486634,320683,79545037,26270,141881,2377633,142784,69770,2.1
1539487,1510532,983,2631,995,13499,28025434,47397987,11035,503644,350731,56735389,21319,158220,1985058,122197,75693,2.03
1521187,1521695,912,1682,623,19152,27974201,48521280,20183,504635,327361,52493366,24699,192178,1704861,81383,74693,2.05
1401182,1450900,770,2196,937,19429,27411622,52982594,20828,596097,347969,44422428,17101,177683,692176,39282,70337,2.29
1292313,1326768,1058,3088,912,28439,26395108,48011004,21697,534195,352353,41104765,18654,162326,525459,19962,37251,2.3
1417047,1402668,891,2029,577,21282,26516857,43698072,22022,527253,325717,47063181,10835,169346,682131,47372,54257,2.41
1457432,1438417,811,2124,849,21048,26106332,53776957,26936,565091,350052,50434490,10534,136608,462907,29085,28290,2.4
1551742,1543055,1275,2820,1016,26625,23847060,79506153,11575,469139,332284,61142608,21870,151859,326177,34020,25805,2.37
1444457,1474006,777,2230,641,20821,23789546,86617124,12343,385395,302992,86603980,22212,176774,1368855,23092,68079,2.36
