branch-load-misses,branch-misses,iTLB-load-misses,dTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,L1-dcache-load-misses,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.all_demand_miss,l2_rqsts.demand_data_rd_miss,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.rfo_miss,cache-misses,LLC-load-misses,LLC-store-misses,l1d_pend_miss.l2_stall,l2_rqsts.swpf_miss,CPI
3341898,3353066,1595,102090,423,626049,891864,68197506,47461,286250,228697,71720016,30398,4186,758585,199456,763,16124,0,1.9
3448695,3463207,1330,98844,541,604709,901535,71201354,46809,295775,240744,81105470,31723,4138,742037,210306,758,19652,0,1.84
3406659,3409143,1832,107919,759,573624,1000781,77533958,41595,291323,227842,69209926,31412,5129,789117,243946,1894,21877,0,1.84
3522758,3463051,1946,93420,509,535945,949348,70386446,45679,264180,202978,67892403,27041,4490,694400,202037,934,19798,0,1.84
3449649,3424729,1614,106926,529,509555,895153,73184093,43130,278614,221976,70715916,32482,6328,808439,249155,3476,20432,0,1.73
3480431,3452413,1369,109700,459,570802,1005069,76299377,40316,314940,265542,74401543,30363,4183,857271,262619,1698,21480,0,1.84
3478541,3427790,1310,99317,410,552966,1029016,77310963,42463,293185,241454,69538698,34279,4915,848681,257407,1793,18875,0,1.81
3303162,3304195,1649,108613,369,572702,993813,72987600,37168,296693,260186,78952171,40280,5592,919192,276219,1552,19648,0,1.81
3429249,3410683,1177,112028,418,501644,1168522,77446726,33399,295018,255300,93523829,53246,7058,894453,263121,1702,25086,0,1.85
3351057,3349365,1657,117901,394,577673,1008684,65755361,33623,280647,235493,78883144,44414,8147,810141,236373,2088,16598,0,1.8
3316027,3327495,1267,108626,497,719959,1088314,67537281,30937,284537,238675,84456764,43743,7438,828748,244919,2785,18977,0,1.76
3630417,3583366,1733,118193,402,576085,1052413,68719654,33247,296741,244253,77853855,46791,6977,897515,293762,2045,15232,0,1.77
3418618,3422842,1466,124696,451,539312,1090986,71275165,34609,291647,253197,87752347,43960,6643,872556,257752,1923,28332,0,1.74
3363554,3360177,1176,109507,436,589833,1086155,69738213,31897,289382,248086,84922021,47090,8109,838375,248662,2189,21491,0,1.81
3458526,3441537,1415,115913,477,660758,1000106,72874885,36511,287939,232619,90213433,48722,7839,852194,256968,2435,21123,0,1.74
3258153,3293136,1243,116889,426,620824,1048010,72728330,34360,289165,247316,88846865,44930,7167,806141,231344,1944,21587,0,1.79
3435138,3453320,2054,114032,373,580379,1084911,71401543,32147,276673,232390,79269731,44024,6511,785904,231643,2556,18210,0,1.71
3572617,3598713,2348,129024,399,474067,1083643,72704918,36264,306185,257969,88968911,46173,7991,907773,271936,2147,13009,0,1.46
3449080,3395083,1402,115723,467,706391,985210,64378011,37653,271374,230991,85808749,42360,8198,844961,242077,2256,20885,0,1.8
3297417,3317101,1550,110965,397,617836,1051491,73357276,33681,297993,258005,88407077,43580,7337,808524,233396,1814,16522,0,1.73
3431692,3419788,1054,103033,389,676650,1034754,65776924,34917,272285,225220,83905069,42501,7835,855002,249962,2306,18473,0,1.78
3578583,3550591,1433,110537,406,616037,1067689,64987052,32099,268521,234202,86441125,46961,8999,861991,248225,1873,17598,0,1.78
2909220,2985585,1304,112518,488,618742,962532,58351671,31033,258755,227135,77547621,42657,8005,779627,216545,2256,15353,0,1.79
3322954,3327384,1448,108173,496,565351,962197,64582809,32824,268806,227090,80759777,44552,9078,789983,216355,1930,18841,0,1.77
3486912,3507796,1455,113283,582,627276,937643,65787883,35943,270961,245173,86773941,48149,10238,861166,239523,2311,18167,0,1.78
3584913,3574142,1880,128853,705,544621,1095810,70022477,33037,285780,253891,85151300,45928,10383,939557,276411,2010,18985,0,1.74
3557713,3578247,949,115474,370,584073,1060828,59295572,32206,272332,247466,91270473,45422,8636,940214,276355,1913,19568,0,1.75
3635535,3643502,1787,121890,529,545693,1021482,61114059,31516,255440,225937,85289252,45143,10137,946850,275218,2110,19446,0,1.72
3161630,3208905,1628,114452,501,586873,1047866,70299803,36195,277298,238364,77724492,45427,9396,777720,223522,1863,20175,0,1.67
3428951,3427897,1260,112742,430,654212,1047317,65398415,32345,241319,213770,79338632,49429,9926,889704,262685,1643,16049,0,1.77
3329029,3378859,1486,124189,434,486157,1078068,63918001,31389,276740,242492,82691064,43512,8039,904952,278954,2116,21031,0,1.86
3428624,3461253,1545,113934,410,517832,1058623,62668945,31059,297808,241166,79408622,45800,8704,820647,262954,2508,23308,0,1.83
3379559,3396342,1637,112042,459,489409,1069328,66605718,28936,274534,223281,73084787,42317,8309,823081,250416,2573,18598,0,1.77
3260709,3260338,1349,97594,632,551669,1043301,56300673,31042,261472,223944,75396882,44544,10417,828145,246417,3075,18450,0,1.77
3087664,3129791,1298,106376,443,632825,1033738,60149269,32102,279047,235546,85161418,46960,7454,915400,269937,3552,15666,0,1.73
3248153,3289272,1163,117432,488,559946,1040197,55894495,32356,279468,254284,82038471,42053,8741,880220,259808,3919,15430,0,1.71
3105216,3140493,1335,99383,529,532996,1080086,59391925,34471,282883,247111,75548895,51919,8546,818967,235125,3914,21823,0,1.76
3404544,3403044,1004,115943,427,592852,977655,57983104,31540,270854,228285,74589214,48233,9406,888614,264589,5094,17753,0,1.76
3383379,3375860,925,107263,414,793934,1062601,61659974,27884,259431,214089,73363779,39011,8760,821269,250092,4426,18160,0,1.77
3274088,3316415,2177,109400,586,441227,1025383,58568314,29424,252406,212000,61613173,28167,5067,747082,247710,5467,17374,0,1.77
3306896,3310191,1385,106135,340,528230,1052097,54139328,27719,257238,215507,65578565,37660,7095,826897,257013,4993,16932,0,1.72
